strategija,avtor,zbir,id zbira
Purrely,ThomasGraduated2020,66b223caa1b39638477cb966.text,66b223caa1b39638477cb966
Mannadium,Ayubus,66b23696050bc5c99ee6d6fc.text,66b23696050bc5c99ee6d6fc
Floowandereeze,Crazybarkss,66b2422148c1fde521d5e84e.text,66b2422148c1fde521d5e84e
Labrynth,kenn¥,66b24259a1b3963847804efd.text,66b24259a1b3963847804efd
Branded,NightPrimrose,66b25557863a43d44519cc35.text,66b25557863a43d44519cc35
Ogdoadic,Drew,66b26833863a43d4451bf25d.text,66b26833863a43d4451bf25d
Tearlaments,Heavensfeelubw,66b2b41abbc3b0fc02e88a79.text,66b2b41abbc3b0fc02e88a79
Yubel,Zalda,66b2d2c24ad51c22a52ccc38.text,66b2d2c24ad51c22a52ccc38
Ninja,Slayton,66b2d74a8d6cbb695c1cbdd8.text,66b2d74a8d6cbb695c1cbdd8
Naturia,Spratt,66b2ff10cfa573427add795c.text,66b2ff10cfa573427add795c
Exosister,The only Mes,66b3122845a3a842d65ba065.text,66b3122845a3a842d65ba065
Branded,OedipaMaas,66b3150c45a3a842d65bf840.text,66b3150c45a3a842d65bf840
Adventure Phantom Knights,Cipher Ghost,66b379de4c13ef0a280b58e4.text,66b379de4c13ef0a280b58e4
Infernoble Knight,adolfojpereira,66b37f57bb4a7ccdaa3d35e1.text,66b37f57bb4a7ccdaa3d35e1
Resonators,Elequinn,66b37f57bb4a7ccdaa3d35e2.text,66b37f57bb4a7ccdaa3d35e2
Chaos,sunnnz,66b382024c13ef0a280c3406.text,66b382024c13ef0a280c3406
Stun,Esquivar,66b390d5a166d85bfc18a654.text,66b390d5a166d85bfc18a654
Rikka,กระรอกจะกินแมว♡,66b3a5aa853100307d9c52a5.text,66b3a5aa853100307d9c52a5
Horus,Hidz,66b3ca1a8ade698ca20bc983.text,66b3ca1a8ade698ca20bc983
Branded,Vox,66b3dd268ade698ca20db34d.text,66b3dd268ade698ca20db34d
Tearlaments,terrencegrey,66b41a1a691e67b5f694a6ec.text,66b41a1a691e67b5f694a6ec
Live☆Twin Spright,Saucy Senpai,66b41a1a691e67b5f694a6ed.text,66b41a1a691e67b5f694a6ed
Rescue-ACE,Gargolo,66b41aeb3010167147ff20a9.text,66b41aeb3010167147ff20a9
Adventure Phantom Knights,jamesnintendoturd,66b41aeb3010167147ff20a8.text,66b41aeb3010167147ff20a8
Purrely,UmbraeDraconian,66b41aeb3010167147ff20aa.text,66b41aeb3010167147ff20aa
Time Thief,mikeee,66b41df23010167147ff77cf.text,66b41df23010167147ff77cf
Scareclaw,Heavensfeelubw,66b448bde93c457470f5e9de.text,66b448bde93c457470f5e9de
Synchrons,River,66b4c9da7b9a82ff21c8924c.text,66b4c9da7b9a82ff21c8924c
Voiceless Voice,EXSlayer64,66b4caee850ffe0c91d7b894.text,66b4caee850ffe0c91d7b894
Stun,~大尺度炒面~,66b4cb48850ffe0c91d7d04f.text,66b4cb48850ffe0c91d7d04f
Scareclaw,Astra,66b4cb92850ffe0c91d7e37d.text,66b4cb92850ffe0c91d7e37d
Zoodiac,Buns2,66b4e17a9800445a670272d3.text,66b4e17a9800445a670272d3
Infernoble Knight,lys,66b4f32be5eb5040b9ae4026.text,66b4f32be5eb5040b9ae4026
Resonators,ckw81,66b509ee469a2154b976441c.text,66b509ee469a2154b976441c
Yubel,KosmannewO,66b528cca651346ab5a05111.text,66b528cca651346ab5a05111
Tearlaments,Rasce,66b528cca651346ab5a05112.text,66b528cca651346ab5a05112
Raidraptor,GadgetBug,66b528cca651346ab5a05113.text,66b528cca651346ab5a05113
Gishki,warf555,66b55b95e8d2f3a679709269.text,66b55b95e8d2f3a679709269
Centur-Ion,gaze,66b55b95e8d2f3a67970926a.text,66b55b95e8d2f3a67970926a
Voiceless Voice,Nod3Q,66b55b95e8d2f3a67970926b.text,66b55b95e8d2f3a67970926b
Yubel,!                          Modar,66b57c94d97a3ef024d23081.text,66b57c94d97a3ef024d23081
Fur Hire,Barzarld,66b5b949df4aeb8bb07de2d0.text,66b5b949df4aeb8bb07de2d0
Ice Barrier,Kaley,66b5bae3df4aeb8bb07e0f03.text,66b5bae3df4aeb8bb07e0f03
Floowandereeze,Smitejr,66b62e475e92b8e1e59cade9.text,66b62e475e92b8e1e59cade9
Centur-Ion,Exelicor,66b62e475e92b8e1e59cadea.text,66b62e475e92b8e1e59cadea
Salamangreat,Fer ✰,66b6352b3539b7f96e609c43.text,66b6352b3539b7f96e609c43
Voiceless Voice,Overdue,66b656c725dae00d6cc5ea33.text,66b656c725dae00d6cc5ea33
Naturia,Specter,66b693ec85bde387f0037925.text,66b693ec85bde387f0037925
Chimera,Shaabi37,66b693ec85bde387f0037926.text,66b693ec85bde387f0037926
Stun,Joey,66b693ec85bde387f0037927.text,66b693ec85bde387f0037927
Zefra,Wotan,66b69d6a0f3c7642e3fff8eb.text,66b69d6a0f3c7642e3fff8eb
Branded,Darius,66b69d6a0f3c7642e3fff8ec.text,66b69d6a0f3c7642e3fff8ec
Branded,Akamatsu,66b69e802c6f73f9bd668f6e.text,66b69e802c6f73f9bd668f6e
